pair,direction,publication_date,fired_side,fired_type,currency,fwd_5d,fwd_10d,fwd_20d
EUR/USD,SELL,2014-03-14,quote,REVERSING,USD,-0.008331656455993652,-0.012403368949890137,0.002098679542541504
EUR/USD,BUY,2014-04-11,base,UNWINDING,EUR,-0.0074225664138793945,-0.0054357051849365234,-0.004210233688354492
EUR/USD,SELL,2014-05-02,quote,REVERSING,USD,-0.0026693344116210938,-0.015449166297912598,-0.026645660400390625
EUR/USD,BUY,2014-05-16,base,REVERSING,EUR,-0.006199359893798828,-0.011196494102478027,-0.016193747520446777
EUR/USD,BUY,2014-05-23,base,REVERSING,EUR,-0.004997134208679199,0.0007461309432983398,-0.004311919212341309
EUR/USD,BUY,2014-05-30,base,REVERSING,EUR,0.005743265151977539,-0.00499725341796875,0.0008519887924194336
EUR/USD,BUY,2014-06-06,quote,REVERSING,USD,-0.010740518569946289,-0.0050580501556396484,-0.005187630653381348
EUR/USD,BUY,2014-06-20,quote,REVERSING,USD,0.00016677379608154297,-0.00012958049774169922,-0.009255647659301758
EUR/USD,BUY,2014-07-04,quote,REVERSING,USD,-0.0004999637603759766,-0.009126067161560059,-0.022014379501342773
EUR/USD,SELL,2015-05-08,base,UNWINDING,EUR,0.015802979469299316,-0.013509750366210938,-0.003907680511474609
EUR/USD,SELL,2015-05-15,base,UNWINDING,EUR,-0.029312729835510254,-0.044463396072387695,-0.01643514633178711
EUR/USD,SELL,2017-05-12,base,REVERSING,EUR,0.024862170219421387,0.034580349922180176,0.031984686851501465
EUR/USD,SELL,2017-05-19,base,REVERSING,EUR,0.009718179702758789,0.010221123695373535,0.00333249568939209
EUR/USD,SELL,2017-05-26,base,REVERSING,EUR,0.0005029439926147461,-0.002595663070678711,-0.006112217903137207
EUR/USD,SELL,2017-07-28,quote,REVERSING,USD,0.019629240036010742,0.008158445358276367,0.011353492736816406
EUR/USD,SELL,2017-08-04,quote,REVERSING,USD,-0.011470794677734375,-0.01694512367248535,0.0025479793548583984
EUR/USD,SELL,2017-08-11,quote,REVERSING,USD,-0.0054743289947509766,0.003195047378540039,0.02588176727294922
EUR/USD,BUY,2017-11-10,quote,REVERSING,USD,0.00849902629852295,0.0279618501663208,0.012310147285461426
EUR/USD,SELL,2017-12-01,quote,REVERSING,USD,-0.012606143951416016,-0.012328863143920898,0.004347801208496094
EUR/USD,BUY,2017-12-22,quote,REVERSING,USD,0.008439183235168457,0.021150827407836914,0.03792750835418701
EUR/USD,BUY,2017-12-29,quote,REVERSING,USD,0.012711644172668457,0.010037541389465332,0.04506182670593262
EUR/USD,BUY,2018-01-05,quote,REVERSING,USD,-0.002674102783203125,0.016776680946350098,0.044116854667663574
EUR/USD,SELL,2018-01-19,quote,REVERSING,USD,0.015573501586914062,0.027340173721313477,0.026698827743530273
EUR/USD,SELL,2018-01-26,quote,REVERSING,USD,0.011766672134399414,-0.013157963752746582,-0.006568551063537598
EUR/USD,SELL,2018-02-02,quote,REVERSING,USD,-0.024924635887145996,-0.0006413459777832031,-0.02391660213470459
EUR/USD,BUY,2018-03-16,quote,REVERSING,USD,0.0015777349472045898,-0.0006361007690429688,0.0020488500595092773
EUR/USD,SELL,2018-04-06,base,UNWINDING,EUR,0.007809758186340332,0.009392738342285156,-0.026234149932861328
EUR/USD,BUY,2018-05-04,base,UNWINDING,EUR,-0.007172703742980957,-0.019402265548706055,-0.029608607292175293
EUR/USD,BUY,2018-05-11,base,UNWINDING,EUR,-0.012229561805725098,-0.019488811492919922,-0.012229561805725098
EUR/USD,BUY,2018-05-18,base,UNWINDING,EUR,-0.007259249687194824,-0.010206341743469238,-0.022865772247314453
EUR/USD,BUY,2018-05-25,base,UNWINDING,EUR,-0.002947092056274414,0.007259249687194824,-0.01168668270111084
EUR/USD,BUY,2018-06-01,base,UNWINDING,EUR,0.010206341743469238,-0.012659430503845215,-0.013020515441894531
EUR/USD,BUY,2018-08-17,base,REVERSING,EUR,0.017195582389831543,0.029327392578125,0.03204143047332764
EUR/USD,BUY,2018-08-24,base,REVERSING,EUR,0.012131810188293457,0.007672429084777832,0.023258209228515625
EUR/USD,BUY,2018-08-31,base,REVERSING,EUR,-0.004459381103515625,0.0027140378952026367,-0.0027284622192382812
EUR/USD,SELL,2018-09-07,base,REVERSING,EUR,0.007173418998718262,0.015585780143737793,-0.010198593139648438
EUR/USD,SELL,2018-09-14,base,REVERSING,EUR,0.008412361145019531,-0.005442500114440918,-0.01013636589050293
EUR/USD,SELL,2018-09-21,base,REVERSING,EUR,-0.01385486125946045,-0.02578437328338623,-0.031592369079589844
EUR/USD,BUY,2018-10-05,base,REVERSING,EUR,0.0072356462478637695,-0.005807995796203613,-0.011479496955871582
EUR/USD,BUY,2018-10-12,base,REVERSING,EUR,-0.013043642044067383,-0.021258115768432617,-0.022202491760253906
EUR/USD,BUY,2018-10-19,base,REVERSING,EUR,-0.008214473724365234,-0.005671501159667969,-0.013510465621948242
EUR/USD,SELL,2019-06-21,base,UNWINDING,EUR,0.007733583450317383,-0.0009815692901611328,-0.0034090280532836914
EUR/USD,SELL,2019-06-28,base,UNWINDING,EUR,-0.008715152740478516,-0.012055039405822754,-0.022678256034851074
EUR/USD,SELL,2019-07-05,base,UNWINDING,EUR,-0.0033398866653442383,-0.0024274587631225586,-0.020693063735961914
EUR/USD,SELL,2019-10-18,quote,UNWINDING,USD,-0.0023227930068969727,0.002991914749145508,-0.010668516159057617
EUR/USD,SELL,2019-10-25,base,UNWINDING,EUR,0.0053147077560424805,-0.00842583179473877,-0.003809213638305664
EUR/USD,SELL,2020-03-20,base,REVERSING,EUR,0.03909134864807129,0.019005417823791504,0.02011263370513916
EUR/USD,SELL,2020-03-27,base,REVERSING,EUR,-0.020085930824279785,-0.0120849609375,-0.027123570442199707
EUR/USD,SELL,2020-04-03,base,REVERSING,EUR,0.008000969886779785,0.0011072158813476562,0.009806990623474121
EUR/USD,SELL,2020-06-19,quote,REVERSING,USD,0.001108407974243164,0.0026848316192626953,0.018111586570739746
EUR/USD,SELL,2020-06-26,quote,REVERSING,USD,0.0015764236450195312,0.006587028503417969,0.037400007247924805
EUR/USD,SELL,2020-07-03,quote,REVERSING,USD,0.0050106048583984375,0.01542675495147705,0.06344056129455566
EUR/USD,BUY,2020-10-16,base,UNWINDING,EUR,0.010789036750793457,-0.0028438568115234375,0.009625911712646484
EUR/USD,SELL,2020-11-27,quote,REVERSING,USD,0.022965312004089355,0.022829651832580566,0.02687227725982666
EUR/USD,BUY,2021-03-19,base,UNWINDING,EUR,-0.014161944389343262,-0.01382911205291748,0.005350589752197266
EUR/USD,BUY,2021-03-26,base,UNWINDING,EUR,0.00033283233642578125,0.013906359672546387,0.023813247680664062
EUR/USD,BUY,2021-04-02,base,UNWINDING,EUR,0.013573527336120605,0.019179701805114746,0.0347142219543457
EUR/USD,SELL,2021-06-18,quote,REVERSING,USD,0.0016913414001464844,-0.006717801094055176,-0.010159969329833984
EUR/USD,SELL,2021-06-25,base,UNWINDING,EUR,-0.00840914249420166,-0.008232355117797852,-0.015758872032165527
EUR/USD,SELL,2021-07-02,base,UNWINDING,EUR,0.0001767873764038086,-0.0034421682357788086,0.004676103591918945
EUR/USD,BUY,2021-07-09,base,UNWINDING,EUR,-0.003618955612182617,-0.007526516914367676,-0.00122833251953125
EUR/USD,BUY,2021-07-16,base,UNWINDING,EUR,-0.003907561302185059,0.008118271827697754,-0.007555246353149414
EUR/USD,BUY,2021-07-23,base,UNWINDING,EUR,0.012025833129882812,0.006298184394836426,-0.009614348411560059
EUR/USD,BUY,2021-10-08,base,REVERSING,EUR,0.0031757354736328125,0.006558060646057129,-0.00044083595275878906
EUR/USD,BUY,2021-10-15,base,REVERSING,EUR,0.0033823251724243164,0.009209275245666504,-0.014069676399230957
EUR/USD,BUY,2021-10-22,base,REVERSING,EUR,0.0058269500732421875,-0.006998896598815918,-0.025692343711853027
EUR/USD,SELL,2021-11-12,base,REVERSING,EUR,-0.008240342140197754,-0.024118781089782715,-0.015750885009765625
EUR/USD,BUY,2021-12-03,base,REVERSING,EUR,-0.0012896060943603516,0.002793550491333008,0.0018821954727172852
EUR/USD,SELL,2022-01-14,base,REVERSING,EUR,-0.014336228370666504,-0.031008601188659668,-0.004158973693847656
EUR/USD,SELL,2022-01-21,base,REVERSING,EUR,-0.016672372817993164,0.012200593948364258,0.005272507667541504
EUR/USD,SELL,2022-01-28,base,REVERSING,EUR,0.028872966766357422,0.02684962749481201,0.004366040229797363
EUR/USD,BUY,2022-05-06,base,REVERSING,EUR,-0.01601588726043701,0.003924727439880371,0.021132946014404297
EUR/USD,SELL,2022-05-27,base,REVERSING,EUR,0.0018116235733032227,-0.011374831199645996,-0.021283864974975586
EUR/USD,BUY,2022-06-17,base,REVERSING,EUR,-0.0026739835739135742,-0.006917715072631836,-0.052118897438049316
EUR/USD,BUY,2022-06-24,base,REVERSING,EUR,-0.004243731498718262,-0.03502786159515381,-0.029903292655944824
